,Shoe_names,Price,Links
11,AJANTA,₹485,https://www.flipkart.com/ajanta-sports-running-training-gym-shoes-running-shoes-men/p/itm4f370015e2cc8?pid=SHOGT4XQMBXHH653&lid=LSTSHOGT4XQMBXHH653V5AZX0&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45NSA74vAmfxv8wON24jAGq66BYosxA3PUaZr2tmi9fyiPKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
12,HOTSTYLE,₹263,https://www.flipkart.com/hotstyle-trendy-stylish-loafers-men/p/itme3f5ce18186c3?pid=SHOG483UHZCVJYUR&lid=LSTSHOG483UHZCVJYURDG7TGU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&spotlightTagId=BestsellerId_osp%2Fcil&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOG483UHZCVJYUR.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
13,RED TAPE,"₹1,179",https://www.flipkart.com/red-tape-casual-sneakers-shoes-men-soft-cushioned-insole-slip-resistance/p/itm6bd4f02dc3c3b?pid=SHOGXWYZTKD9GQUQ&lid=LSTSHOGXWYZTKD9GQUQK4HDRJ&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGXWYZTKD9GQUQ.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
14,HOTSTYLE,₹263,https://www.flipkart.com/hotstyle-trendy-stylish-loafers-men/p/itm0cdfc8b3c3167?pid=SHOG483UGGCM5ZGJ&lid=LSTSHOG483UGGCM5ZGJQ35NGP&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&spotlightTagId=BestsellerId_osp%2Fcil&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOG483UGGCM5ZGJ.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
15,CAMPUS,₹699,https://www.flipkart.com/campus-hurricane-running-shoes-men/p/itm4d0125d9c2c65?pid=SHOG6BNGRZRZP3G6&lid=LSTSHOG6BNGRZRZP3G6H7BCD9&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOG6BNGRZRZP3G6.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
16,aadi,₹513,https://www.flipkart.com/aadi-mesh-ultralightweight-premiun-comfort-summer-tendy-outdoor-casuals-men/p/itme59a61dc20296?pid=SHOG585VUKPHHAPP&lid=LSTSHOG585VUKPHHAPPR9GQFI&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45ORmwuS3K2PH5fL8C0_yOdXR3OMZAzbSCAYqiTt_aVdIw%3D%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
17,New Balance,"₹6,368",https://www.flipkart.com/new-balance-xc-72-sneakers-men/p/itm6a535e31a7d6f?pid=SHOGMPYRAZZ2YTFH&lid=LSTSHOGMPYRAZZ2YTFHG7Z35N&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45OackR4rDJPIsIdovpXnZtgU0M8sU1aCB-ZehiDfROcPuI7uWi7bi3WLqk6JF-UYDE%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
18,BRUTON,₹549,https://www.flipkart.com/bruton-lite-sports-shoes-running-men/p/itme302383bd1744?pid=SHOGZYEAWUGC8HJ5&lid=LSTSHOGZYEAWUGC8HJ55XOAGY&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGZYEAWUGC8HJ5.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
19,asian,₹595,https://www.flipkart.com/asian-wndr-13-sports-shoes-men-latest-stylish-casual-sport-running-boys-lace-up-lightweight-grey-running-walking-gym-trekking-hiking-party-running/p/itmff96xgyjjf3fx?pid=SHOF3KF5HXEZE5FN&lid=LSTSHOF3KF5HXEZE5FNUTJLDA&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOF3KF5HXEZE5FN.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
20,REEBOK,"₹1,047",https://www.flipkart.com/reebok-super-speed-walking-shoes-men/p/itm0f7a194e99709?pid=SHOGRSZBSWTQUHMT&lid=LSTSHOGRSZBSWTQUHMTCSPSUR&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45PggUf0NMqe-pJgK-5VCMPHZqwTRk9-CmpgLVUD08VScGJMZAJirnjvZRqZ0WhE16A%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
21,JQR,"₹1,427",https://www.flipkart.com/jqr-signature-sports-shoes-running-walking-lightweight-gym-stylish-men/p/itm463e2953a06ac?pid=SHOGUGRSEAUNCYHS&lid=LSTSHOGUGRSEAUNCYHSCTCM6I&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45O5E0JAUr5YU-HCB_mmbgFzwmBbG0yjLMoukj3ITcXOg04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
22,HOTSTYLE,₹263,https://www.flipkart.com/hotstyle-trendy-stylish-loafers-men/p/itma4bb53d7f5262?pid=SHOG483UAZYYEVB9&lid=LSTSHOG483UAZYYEVB9ZICWIA&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&spotlightTagId=BestsellerId_osp%2Fcil&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOG483UAZYYEVB9.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
23,CAMPUS,₹549,https://www.flipkart.com/campus-crysta-pro-running-shoes-men/p/itm4c7f055fafd03?pid=SHOGANAAYNRDTZ5V&lid=LSTSHOGANAAYNRDTZ5VYUCLGZ&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGANAAYNRDTZ5V.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
24,BRUTON,₹299,https://www.flipkart.com/bruton-trendy-sports-running-shoes-men/p/itmc9bfe38b079d7?pid=SHOGEDNEQJYSXHXX&lid=LSTSHOGEDNEQJYSXHXXILU65R&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGEDNEQJYSXHXX.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
25,HOTSTYLE,₹330,https://www.flipkart.com/hotstyle-fast-trendy-loafers-men/p/itm9a4cb4392a5e4?pid=SHOGKPPGEGXE8VTR&lid=LSTSHOGKPPGEGXE8VTR4YFVLX&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGKPPGEGXE8VTR.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
26,Unistar,"₹1,105",https://www.flipkart.com/unistar-high-ankle-riding-boots-hiking-trekking-mild-waterproof-protection-men/p/itmfgfgyyasyfgh7?pid=SHOFF7XP9RZFAUF2&lid=LSTSHOFF7XP9RZFAUF2ACACEI&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45P-Jb8Y9h774o6FK7V-4i0t2e6fdVPMC0pWvP-7tw0U9Q%3D%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
27,ADIDAS,"₹1,932",https://www.flipkart.com/adidas-adimove-running-shoes-men/p/itmcbfa60c9d384b?pid=SHOGW4GYVGBJJ9HF&lid=LSTSHOGW4GYVGBJJ9HFITRBL0&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45PXfG8ZeEquK9Ax9fLY-uuyL6iN89n6ooMUmec0rduFD0Ksf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
28,PUMA,"₹2,150",https://www.flipkart.com/puma-exotine-2-0-running-shoes-men/p/itmd5ec1947a620b?pid=SHOGRT4GN25F2XGG&lid=LSTSHOGRT4GN25F2XGGFVFBWV&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGRT4GN25F2XGG.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
29,BIRDE,₹299,https://www.flipkart.com/birde-premium-sports-walking-shoes-men/p/itm0e5e0bd9d5e1d?pid=SHOFZEWU2ZYGGXZR&lid=LSTSHOFZEWU2ZYGGXZR3ZJYNP&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOFZEWU2ZYGGXZR.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
30,ADIDAS,"₹2,352",https://www.flipkart.com/adidas-fawd-pace-running-shoes-men/p/itma7cda0274b6db?pid=SHOGW4GYNGH2HGHH&lid=LSTSHOGW4GYNGH2HGHHTYUQIN&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45MGq20WfVCpkh4BCwOKo0RhWnoCD3Czbo3qqkmDgAwgiuo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
31,New Balance,"₹2,200",https://www.flipkart.com/new-balance-490-running-shoes-men/p/itm58e07ca17a276?pid=SHOG7ZU5ZVUQJREN&lid=LSTSHOG7ZU5ZVUQJREN5H0EP9&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45PG7LgaU1sOMJk1yt-tq1dE8uZwcoQfXHLSjtQGfKxFN0hz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
32,DSC,₹755,https://www.flipkart.com/dsc-cricket-shoes-men/p/itm98f14f46331ed?pid=SHOFQFYUES5A4V8H&lid=LSTSHOFQFYUES5A4V8HVCTF9Y&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOFQFYUES5A4V8H.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
33,BIRDE,₹299,https://www.flipkart.com/birde-premium-sports-walking-shoes-men/p/itmccaf91c36bff7?pid=SHOGD8PDG2SQ39UX&lid=LSTSHOGD8PDG2SQ39UXLHFBXB&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGD8PDG2SQ39UX.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
34,aadi,₹348,https://www.flipkart.com/aadi-sneakers-men/p/itmfbbd674083772?pid=SHOGMKFZHHBGKTE3&lid=LSTSHOGMKFZHHBGKTE31HQGSI&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGMKFZHHBGKTE3.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
35,BIRDE,₹535,https://www.flipkart.com/birde-combo-pack-2-casual-shoes-sneakers-men/p/itm93aa075293535?pid=SHOGHYWHBGFNSUSC&lid=LSTSHOGHYWHBGFNSUSCSGKZ78&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGHYWHBGFNSUSC.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
36,Airson,₹529,https://www.flipkart.com/airson-boys-stylish-casual-sport-running-shoes-men/p/itm27dc9ca156cda?pid=SHOGZBK27SFHYCVF&lid=LSTSHOGZBK27SFHYCVFQXJCCH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45PTJT4jCcy1qBIuAxul_VLwHlA2QnZK02EsUCS2cOE23g%3D%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
37,REEBOK,"₹1,350",https://www.flipkart.com/reebok-energy-streak-m-casuals-men/p/itm08d48e6721248?pid=SHOGQF7FXEUMZNPW&lid=LSTSHOGQF7FXEUMZNPWXHPUUR&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45PhDFJRC9_39W5eT8uu_AVcrZ73WYKjpi1sDvFhM2utwVnKu_QkFD98oDn_xgTUm2M%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
38,BRUTON,₹299,https://www.flipkart.com/bruton-sports-running-shoes-men/p/itm9f2badf43e6ac?pid=SHOGFRN7VF8Z6F8G&lid=LSTSHOGFRN7VF8Z6F8GK9BCHS&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGFRN7VF8Z6F8G.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
39,RED TAPE,"₹1,079",https://www.flipkart.com/red-tape-sneaker-casual-shoes-men-soft-cushion-insole-slip-resistance-sneakers/p/itmea62228442270?pid=SHOGR5RUVDDNTTGM&lid=LSTSHOGR5RUVDDNTTGMGY4OPQ&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGR5RUVDDNTTGM.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
